POX 0.2.0 (carp) / Copyright 2011-2013 James McCauley, et al.
DEBUG listening on port 5543
DEBUG: in recieved_message
Message received: {'Variable': 'Switch_flow', 'Type': 'Command'}
Control Time:  0.00199699401855
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.15
Nw src:  192.168.3.30
Nw src:  192.168.1.11
Nw src:  192.168.1.14
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.1
Nw src:  192.168.4.3
Nw src:  192.168.1.14
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.27
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.1.11
Nw src:  192.168.1.14
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.27
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.1.10
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.10
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.1.14
Nw src:  192.168.1.10
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.10
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.3.28
Nw src:  192.168.1.14
Nw src:  192.168.3.30
Nw src:  192.168.1.10
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.1.14
Nw src:  192.168.1.10
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.10
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.4.1
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.1.14
Nw src:  192.168.4.3
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.1.14
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.1
Nw src:  192.168.4.3
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.3.30
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.27
Nw src:  192.168.4.1
Nw src:  192.168.4.3
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.3.28
Nw src:  192.168.1.14
Nw src:  192.168.3.30
Nw src:  192.168.1.11
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.15
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.15
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.15
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.1
Nw src:  192.168.4.3
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.14
Nw src:  192.168.1.15
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.27
Nw src:  192.168.1.14
Nw src:  192.168.1.12
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.15
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.15
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.15
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.14
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.1.15
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
Nw src:  192.168.1.14
Nw src:  192.168.1.14
Nw src:  192.168.1.11
Nw src:  192.168.1.15
Nw src:  192.168.3.28
Nw src:  192.168.3.30
Nw src:  192.168.3.30
Nw src:  192.168.3.27
Nw src:  192.168.4.3
Nw src:  192.168.4.1
