DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  '/usr/bin/python' '-m' 'cpppo.server.enip' '--print' '--log' 'logs/protocols_tests_enip_server' '--address' '192.168.1.13:44818' 'LIT101:1=REAL' 'LIT102:1=REAL' 'LIT103:1=REAL' 'Q101:1=REAL' 'Q102:1=REAL'
0   0.4 0.2 0.3
1   0.40000000000000002 0.20000000000000001 0.29999999999999999
2   0.40000000927494556 0.20000000794676115 0.30000000009880295
3   0.39999999436076539 0.19999999569592963 0.30000000013428796
4   0.39999997961382189 0.19999998371294686 0.29999999986616438
5   0.3999999828207943 0.19999998880971245 0.2999999995046434
6   0.39999993183644755 0.19999994739405114 0.29999999866682503
7   0.39999996707050955 0.19999997674444309 0.29999999770999353
8   0.39999997026705564 0.19999997992872301 0.29999999716661302
9   0.39999997057125825 0.19999998043904685 0.29999999668493466
10   0.39999997086684419 0.19999998093313384 0.29999999622274665
11   0.39999997629170803 0.19999998540584321 0.29999999582271575
12   0.39999997326441977 0.19999998261812349 0.2999999954527704
13   0.39999998299736356 0.19999999031538712 0.29999999515771264
14   0.399999973598965 0.1999999818596947 0.29999999486418866
15   0.3999999930224824 0.19999999734106219 0.29999999467928462
16   0.40000001554454101 0.20000001625459388 0.29999999492379176
17   0.40000003781495241 0.20000003475386233 0.29999999562918472
18   0.40000003268597523 0.20000002713843168 0.2999999964699141
19   0.40000008542799992 0.20000006923725921 0.29999999776574054
20   0.40000009276063009 0.20000007577036005 0.29999999963379215
21   0.40000006589352322 0.20000005428846601 0.30000000125875786
22   0.40000004377126219 0.20000003631833144 0.3000000023511728
23   0.40000002190869627 0.20000001875263734 0.30000000297224499
24   0.39999997046711222 0.19999997890474258 0.30000000283869066
25   0.3999999499308875 0.19999996282134277 0.30000000199578331
26   0.39999993875962125 0.19999995331571416 0.30000000085171991
27   0.39999996475409405 0.19999997453454277 0.29999999989047887
28   0.3999999813991767 0.19999998860802412 0.29999999938684241
29   0.39999999785245388 0.20000000236863133 0.29999999923687665
30   0.39999999844425588 0.20000000031141521 0.29999999924810661
