DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
0   [[ 0.         -0.00769873]]
1   [[ 0.          0.00628498]]
2   [[ 0.          0.00673615]]
3   [[ 0.          0.00661845]]
4   [[ 0.         0.0063865]]
5   [[ 0.          0.00615316]]
6   [[ 0.          0.00594272]]
7   [[ 0.          0.00575726]]
8   [[ 0.          0.00559382]]
9   [[ 0.          0.00544879]]
10   [[ 0.          0.00531887]]
11   [[ 0.          0.00520132]]
12   [[ 0.          0.00509386]]
13   [[ 0.          0.00499463]]
14   [[ 0.          0.00490212]]
15   [[ 0.          0.00481512]]
16   [[ 0.          0.00473262]]
17   [[ 0.          0.00465382]]
18   [[ 0.          0.00457808]]
19   [[ 0.          0.00450487]]
20   [[ 0.          0.00443378]]
21   [[ 0.          0.00436447]]
22   [[ 0.          0.00429669]]
23   [[ 0.          0.00423022]]
24   [[ 0.         0.0041649]]
25   [[ 0.          0.00410061]]
26   [[ 0.          0.00403725]]
27   [[ 0.          0.00397475]]
28   [[ 0.          0.00391305]]
29   [[ 0.          0.00385212]]
30   [[ 0.          0.00379192]]
31   [[ 0.          0.00373245]]
32   [[ 0.          0.00367369]]
33   [[ 0.          0.00361564]]
34   [[ 0.          0.00355829]]
35   [[ 0.          0.00350165]]
36   [[ 0.          0.00344572]]
37   [[ 0.         0.0033905]]
38   [[ 0.          0.00333601]]
39   [[ 0.          0.00328224]]
40   [[ 0.          0.00322921]]
41   [[ 0.          0.00317692]]
42   [[ 0.          0.00312538]]
43   [[ 0.          0.00307459]]
44   [[ 0.          0.00302455]]
45   [[ 0.          0.00297527]]
46   [[ 0.          0.00292675]]
