DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
0   [[ 0.         -0.00655013]]
1   [[ 0.          0.00641614]]
2   [[ 0.          0.00686722]]
3   [[ 0.          0.00674556]]
4   [[ 0.          0.00650526]]
5   [[ 0.          0.00626004]]
6   [[ 0.          0.00603527]]
7   [[ 0.          0.00583398]]
8   [[ 0.        0.005654]]
9   [[ 0.          0.00549228]]
10   [[ 0.        0.005346]]
11   [[ 0.          0.00521272]]
12   [[ 0.         0.0050904]]
13   [[ 0.          0.00497735]]
14   [[ 0.          0.00487215]]
15   [[ 0.          0.00477364]]
16   [[ 0.          0.00468084]]
17   [[ 0.          0.00459295]]
18   [[ 0.          0.00450929]]
19   [[ 0.          0.00442931]]
20   [[ 0.          0.00435255]]
21   [[ 0.          0.00427862]]
22   [[ 0.         0.0042072]]
23   [[ 0.          0.00413801]]
24   [[ 0.          0.00407085]]
25   [[ 0.          0.00400552]]
26   [[ 0.          0.00394186]]
27   [[ 0.          0.00387974]]
28   [[ 0.          0.00381905]]
29   [[ 0.         0.0037597]]
30   [[ 0.          0.00370161]]
31   [[ 0.         0.0036447]]
32   [[ 0.          0.00358893]]
33   [[ 0.          0.00353424]]
34   [[ 0.          0.00348058]]
35   [[ 0.          0.00342793]]
36   [[ 0.          0.00337624]]
37   [[ 0.          0.00332549]]
38   [[ 0.          0.00327564]]
39   [[ 0.          0.00322668]]
40   [[ 0.          0.00317859]]
41   [[ 0.          0.00313134]]
42   [[ 0.          0.00308491]]
43   [[ 0.          0.00303929]]
44   [[ 0.          0.00299447]]
45   [[ 0.          0.00295042]]
46   [[ 0.          0.00290712]]
47   [[ 0.          0.00286458]]
48   [[ 0.          0.00282277]]
49   [[ 0.          0.00278167]]
50   [[ 0.          0.00274129]]
51   [[ 0.          0.00270159]]
52   [[ 0.          0.00266258]]
53   [[ 0.        0.002632]]
54   [[ 0.          0.00261065]]
55   [[ 0.          0.00259647]]
56   [[ 0.          0.00258718]]
57   [[ 0.          0.00258081]]
