DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
0   [[ 0.          0.00927554]]
1   [[ 0.         -0.00658252]]
2   [[ 0.         -0.00699264]]
3   [[ 0.         -0.00687124]]
4   [[ 0.         -0.00664286]]
5   [[ 0.         -0.00641329]]
6   [[ 0.         -0.00620551]]
7   [[ 0.         -0.00602149]]
8   [[ 0.         -0.00585845]]
9   [[ 0.         -0.00571292]]
10   [[ 0.         -0.00558179]]
11   [[ 0.         -0.00546241]]
12   [[ 0.         -0.00535264]]
13   [[ 0.        -0.0052507]]
14   [[ 0.         -0.00515517]]
15   [[ 0.         -0.00506489]]
16   [[ 0.        -0.0049789]]
17   [[ 0.         -0.00489647]]
18   [[ 0.         -0.00481697]]
19   [[ 0.         -0.00473992]]
20   [[ 0.         -0.00466493]]
21   [[ 0.         -0.00459168]]
22   [[ 0.         -0.00451994]]
23   [[ 0.         -0.00444952]]
24   [[ 0.         -0.00438025]]
25   [[ 0.         -0.00431204]]
26   [[ 0.         -0.00424478]]
27   [[ 0.         -0.00417842]]
28   [[ 0.         -0.00411291]]
29   [[ 0.        -0.0040482]]
30   [[ 0.         -0.00398429]]
31   [[ 0.         -0.00392115]]
32   [[ 0.         -0.00385877]]
33   [[ 0.         -0.00379716]]
34   [[ 0.         -0.00373631]]
35   [[ 0.         -0.00367622]]
36   [[ 0.         -0.00361691]]
37   [[ 0.         -0.00355837]]
38   [[ 0.         -0.00350061]]
39   [[ 0.         -0.00344364]]
40   [[ 0.         -0.00338746]]
41   [[ 0.         -0.00333208]]
42   [[ 0.         -0.00327751]]
43   [[ 0.         -0.00322375]]
44   [[ 0.        -0.0031708]]
45   [[ 0.         -0.00311867]]
46   [[ 0.         -0.00306736]]
47   [[ 0.         -0.00301687]]
48   [[ 0.         -0.00296721]]
49   [[ 0.         -0.00291836]]
50   [[ 0.         -0.00287033]]
51   [[ 0.         -0.00282313]]
52   [[ 0.         -0.00277673]]
53   [[ 0.         -0.00272338]]
54   [[ 0.         -0.00266229]]
55   [[ 0.         -0.00259548]]
56   [[ 0.         -0.00252523]]
57   [[ 0.         -0.00245347]]
58   [[ 0.         -0.00238174]]
59   [[ 0.         -0.00231119]]
60   [[ 0.         -0.00224267]]
61   [[ 0.         -0.00217678]]
62   [[ 0.         -0.00211395]]
63   [[ 0.         -0.00205443]]
64   [[ 0.         -0.00199837]]
65   [[ 0.         -0.00194584]]
66   [[ 0.         -0.00189681]]
67   [[ 0.         -0.00185122]]
68   [[ 0.         -0.00180896]]
69   [[ 0.         -0.00176992]]
70   [[ 0.         -0.00173393]]
71   [[ 0.         -0.00170084]]
72   [[ 0.         -0.00167047]]
73   [[ 0.         -0.00163322]]
74   [[ 0.         -0.00158959]]
75   [[ 0.         -0.00154117]]
76   [[ 0.         -0.00148956]]
77   [[ 0.         -0.00143614]]
78   [[ 0.         -0.00138146]]
79   [[ 0.         -0.00132647]]
80   [[ 0.       -0.001272]]
81   [[ 0.         -0.00121872]]
82   [[ 0.         -0.00116714]]
83   [[ 0.         -0.00111765]]
84   [[ 0.         -0.00107054]]
85   [[ 0.         -0.00102601]]
86   [[ 0.         -0.00098417]]
87   [[ 0.        -0.0009451]]
88   [[ 0.         -0.00090882]]
89   [[ 0.         -0.00087531]]
90   [[ 0.         -0.00084452]]
91   [[ 0.         -0.00081637]]
92   [[ 0.         -0.00079079]]
93   [[ 0.         -0.00076766]]
94   [[ 0.         -0.00074688]]
95   [[ 0.         -0.00072831]]
96   [[ 0.         -0.00071185]]
97   [[ 0.         -0.00069736]]
98   [[ 0.         -0.00068472]]
99   [[ 0.        -0.0006738]]
100   [[ 0.         -0.00066449]]
101   [[ 0.         -0.00065665]]
102   [[ 0.         -0.00065018]]
103   [[ 0.         -0.00064496]]
104   [[ 0.        -0.0006409]]
105   [[ 0.         -0.00063787]]
106   [[ 0.        -0.0006358]]
107   [[ 0.         -0.00063459]]
108   [[ 0.         -0.00063415]]
109   [[ 0.        -0.0006344]]
110   [[ 0.         -0.00063526]]
111   [[ 0.         -0.00063667]]
112   [[ 0.         -0.00063855]]
113   [[ 0.         -0.00064085]]
114   [[ 0.        -0.0006435]]
115   [[ 0.         -0.00064646]]
116   [[ 0.         -0.00064967]]
117   [[ 0.         -0.00065308]]
118   [[ 0.         -0.00065666]]
119   [[ 0.         -0.00066036]]
120   [[ 0.         -0.00066415]]
121   [[ 0.         -0.00066801]]
122   [[ 0.         -0.00067188]]
123   [[ 0.         -0.00067576]]
124   [[ 0.         -0.00067961]]
125   [[ 0.         -0.00068342]]
126   [[ 0.         -0.00068716]]
127   [[ 0.         -0.00069082]]
128   [[ 0.         -0.00069437]]
129   [[ 0.         -0.00069781]]
130   [[ 0.         -0.00070112]]
131   [[ 0.         -0.00070429]]
132   [[ 0.         -0.00070731]]
133   [[ 0.         -0.00071018]]
134   [[ 0.         -0.00071288]]
135   [[ 0.         -0.00071541]]
136   [[ 0.         -0.00071776]]
137   [[ 0.         -0.00071993]]
138   [[ 0.         -0.00072192]]
139   [[ 0.         -0.00072372]]
140   [[ 0.         -0.00072534]]
141   [[ 0.         -0.00072677]]
142   [[ 0.       -0.000728]]
143   [[ 0.         -0.00072905]]
144   [[ 0.         -0.00072991]]
