DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
0 [  3.50179962e-05] [  3.18379459e-05] [  3.50179962e-05]
1 [  3.50176232e-05] [  3.18376341e-05] [  3.50176232e-05]
2 [  3.50181836e-05] [  3.18381033e-05] [  3.50181836e-05]
3 [  3.50173403e-05] [  3.18373980e-05] [  3.50173403e-05]
4 [  3.50178893e-05] [  3.18378398e-05] [  3.50178893e-05]
5 [  3.50178482e-05] [  3.18378043e-05] [  3.50178482e-05]
6 [  3.50179127e-05] [  3.18378571e-05] [  3.50179127e-05]
7 [  3.50178180e-05] [  3.18377768e-05] [  3.50178180e-05]
8 [  3.50179627e-05] [  3.18378968e-05] [  3.50179627e-05]
9 [  3.50184657e-05] [  3.18383344e-05] [  3.50184657e-05]
10 [  3.50176448e-05] [  3.18376657e-05] [  3.50176448e-05]
11 [  3.50173752e-05] [  3.18374241e-05] [  3.50173752e-05]
12 [  3.50178441e-05] [  3.18377990e-05] [  3.50178441e-05]
13 [  3.50179236e-05] [  3.18378644e-05] [  3.50179236e-05]
14 [  3.50185246e-05] [  3.18383840e-05] [  3.50185246e-05]
15 [  3.50175562e-05] [  3.18375919e-05] [  3.50175562e-05]
16 [  3.50175084e-05] [  3.18375358e-05] [  3.50175084e-05]
17 [  3.50183622e-05] [  3.18382505e-05] [  3.50183622e-05]
18 [  3.50177960e-05] [  3.18377948e-05] [  3.50177960e-05]
19 [  3.50178616e-05] [  3.18378514e-05] [  3.50178616e-05]
20 [  3.50177595e-05] [  3.18377677e-05] [  3.50177595e-05]
21 [  3.50171912e-05] [  3.18372760e-05] [  3.50171912e-05]
22 [  3.50181093e-05] [  3.18380265e-05] [  3.50181093e-05]
23 [  3.50182317e-05] [  3.18381454e-05] [  3.50182317e-05]
24 [  3.50172647e-05] [  3.18373365e-05] [  3.50172647e-05]
25 [  3.50179999e-05] [  3.18379340e-05] [  3.50179999e-05]
26 [  3.50176790e-05] [  3.18376643e-05] [  3.50176790e-05]
27 [  3.50181639e-05] [  3.18380688e-05] [  3.50181639e-05]
28 [  3.50181553e-05] [  3.18380783e-05] [  3.50181553e-05]
29 [  3.50173853e-05] [  3.18374343e-05] [  3.50173853e-05]
30 [  3.50172384e-05] [  3.18373579e-05] [  3.50172384e-05]
31 [  3.50181314e-05] [  3.18380794e-05] [  3.50181314e-05]
32 [  3.50168560e-05] [  3.18369859e-05] [  3.50168560e-05]
33 [  3.50202806e-05] [  3.18398598e-05] [  3.50202806e-05]
34 [  3.50165074e-05] [  3.18367488e-05] [  3.50165074e-05]
35 [  3.50198293e-05] [  3.18395259e-05] [  3.50198293e-05]
36 [  3.50155485e-05] [  3.18359597e-05] [  3.50155485e-05]
37 [  3.50176039e-05] [  3.18375902e-05] [  3.50176039e-05]
38 [  3.50184321e-05] [  3.18382760e-05] [  3.50184321e-05]
39 [  3.50179121e-05] [  3.18378520e-05] [  3.50179121e-05]
40 [  3.50179160e-05] [  3.18378504e-05] [  3.50179160e-05]
41 [  3.50179146e-05] [  3.18378446e-05] [  3.50179146e-05]
42 [  3.50179213e-05] [  3.18378459e-05] [  3.50179213e-05]
43 [  3.50186341e-05] [  3.18384561e-05] [  3.50186341e-05]
44 [  3.50174999e-05] [  3.18375226e-05] [  3.50174999e-05]
45 [  3.50177037e-05] [  3.18376745e-05] [  3.50177037e-05]
46 [  3.50181816e-05] [  3.18380723e-05] [  3.50181816e-05]
47 [  3.50181832e-05] [  3.18380895e-05] [  3.50181832e-05]
48 [  3.50181158e-05] [  3.18380505e-05] [  3.50181158e-05]
49 [  3.50174311e-05] [  3.18374787e-05] [  3.50174311e-05]
50 [  3.50177388e-05] [  3.18377194e-05] [  3.50177388e-05]
51 [  3.97680578e-05] [  3.33379861e-05] [  3.97680578e-05]
52 [  4.45311862e-05] [  3.51374127e-05] [  4.45311862e-05]
53 [  4.85560137e-05] [  3.66095119e-05] [  4.85560137e-05]
54 [  5.17800842e-05] [  3.76756598e-05] [  5.17800842e-05]
55 [  5.42977179e-05] [  3.83845102e-05] [  5.42977179e-05]
56 [  5.62272777e-05] [  3.88069028e-05] [  5.62272777e-05]
57 [  5.76725640e-05] [  3.90046934e-05] [  5.76725640e-05]
58 [  5.87233967e-05] [  3.90310905e-05] [  5.87233967e-05]
59 [  5.94524497e-05] [  3.89277097e-05] [  5.94524497e-05]
60 [  5.99202928e-05] [  3.87283989e-05] [  5.99202928e-05]
61 [  6.01769480e-05] [  3.84602623e-05] [  6.01769480e-05]
62 [  6.02609422e-05] [  3.81425441e-05] [  6.02609422e-05]
63 [  6.02065117e-05] [  3.77923963e-05] [  6.02065117e-05]
64 [  6.71624622e-05] [  4.26030082e-05] [  6.71624622e-05]
65 [  4.91464634e-05] [  2.74433871e-05] [  4.91464634e-05]
66 [ 0.00010418] [  7.41703552e-05] [ 0.00010418]
67 [ -4.46597219e-05] [ -5.11468598e-05] [ -4.46597219e-05]
68 [ 0.00020963] [ 0.00016616] [ 0.00020963]
69 [ -6.82389004e-05] [ -6.38004831e-05] [ -6.82389004e-05]
70 [  3.35426793e-05] [  1.66110204e-05] [  3.35426793e-05]
71 [  6.65697816e-05] [  4.49276857e-05] [  6.65697816e-05]
72 [  5.70224101e-05] [  3.83284235e-05] [  5.70224101e-05]
73 [  6.35840041e-05] [  4.49090404e-05] [  6.35840041e-05]
74 [  6.42379578e-05] [  4.66896299e-05] [  6.42379578e-05]
75 [  6.33847461e-05] [  4.71568094e-05] [  6.33847461e-05]
76 [  6.21879875e-05] [  4.72407115e-05] [  6.21879875e-05]
77 [  6.09503401e-05] [  4.71904201e-05] [  6.09503401e-05]
78 [  5.97517742e-05] [  4.70784057e-05] [  5.97517742e-05]
79 [  5.86088170e-05] [  4.69260576e-05] [  5.86088170e-05]
80 [  5.75263998e-05] [  4.67450395e-05] [  5.75263998e-05]
81 [  5.65016047e-05] [  4.65400042e-05] [  5.65016047e-05]
82 [  5.55315087e-05] [  4.63149679e-05] [  5.55315087e-05]
83 [  5.46146024e-05] [  4.60745826e-05] [  5.46146024e-05]
84 [  5.37478433e-05] [  4.58217347e-05] [  5.37478433e-05]
85 [  5.29281775e-05] [  4.55588086e-05] [  5.29281775e-05]
86 [  5.21540729e-05] [  4.52890381e-05] [  5.21540729e-05]
87 [  5.14216798e-05] [  4.50133275e-05] [  5.14216798e-05]
88 [  5.07291958e-05] [  4.47338962e-05] [  5.07291958e-05]
89 [  5.00747761e-05] [  4.44526252e-05] [  5.00747761e-05]
90 [  4.94565676e-05] [  4.41711092e-05] [  4.94565676e-05]
91 [  4.88719618e-05] [  4.38900372e-05] [  4.88719618e-05]
92 [  4.83180875e-05] [  4.36095866e-05] [  4.83180875e-05]
93 [  4.77955372e-05] [  4.33326250e-05] [  4.77955372e-05]
94 [  4.72996521e-05] [  4.30574358e-05] [  4.72996521e-05]
95 [  4.68307686e-05] [  4.27862335e-05] [  4.68307686e-05]
96 [  4.63869982e-05] [  4.25192554e-05] [  4.63869982e-05]
97 [  5.52533125e-05] [  4.90126731e-05] [  5.52533125e-05]
98 [  3.20670084e-05] [  2.97967054e-05] [  3.20670084e-05]
99 [  8.03347941e-05] [  7.07070676e-05] [  8.03347941e-05]
100 [ -3.02163655e-05] [ -2.21443495e-05] [ -3.02163655e-05]
101 [ 0.0001023] [  8.74699191e-05] [ 0.0001023]
102 [  5.34139729e-05] [  4.87880007e-05] [  5.34139729e-05]
103 [  2.14508834e-05] [  2.20456280e-05] [  2.14508834e-05]
104 [  5.96616891e-05] [  5.37585737e-05] [  5.96616891e-05]
105 [  4.31858533e-05] [  4.06703675e-05] [  4.31858533e-05]
106 [  3.94467302e-05] [  3.76468126e-05] [  3.94467302e-05]
107 [  3.89274374e-05] [  3.71718665e-05] [  3.89274374e-05]
108 [  3.91473224e-05] [  3.72852106e-05] [  3.91473224e-05]
109 [  3.94779711e-05] [  3.74898414e-05] [  3.94779711e-05]
110 [  3.97663153e-05] [  3.76640761e-05] [  3.97663153e-05]
111 [  3.99880818e-05] [  3.77882584e-05] [  3.99880818e-05]
112 [  4.01471772e-05] [  3.78650687e-05] [  4.01471772e-05]
113 [  4.02519521e-05] [  3.79006785e-05] [  4.02519521e-05]
114 [  4.03154283e-05] [  3.79052587e-05] [  4.03154283e-05]
115 [  4.03430976e-05] [  3.78828421e-05] [  4.03430976e-05]
116 [  4.03432355e-05] [  3.78398271e-05] [  4.03432355e-05]
117 [  4.03220530e-05] [  3.77810272e-05] [  4.03220530e-05]
118 [  4.02842147e-05] [  3.77100546e-05] [  4.02842147e-05]
119 [  4.02330613e-05] [  3.76294646e-05] [  4.02330613e-05]
120 [  4.01719421e-05] [  3.75418570e-05] [  4.01719421e-05]
121 [  4.01037550e-05] [  3.74495097e-05] [  4.01037550e-05]
122 [  4.00301807e-05] [  3.73537193e-05] [  4.00301807e-05]
123 [  3.99529466e-05] [  3.72558368e-05] [  3.99529466e-05]
124 [  3.98734805e-05] [  3.71569875e-05] [  3.98734805e-05]
125 [  3.97919847e-05] [  3.70572695e-05] [  3.97919847e-05]
126 [  3.97118239e-05] [  3.69594677e-05] [  3.97118239e-05]
127 [  3.96306356e-05] [  3.68616046e-05] [  3.96306356e-05]
128 [  3.95501593e-05] [  3.67650658e-05] [  3.95501593e-05]
129 [  3.94719072e-05] [  3.66711168e-05] [  3.94719072e-05]
130 [  3.93938111e-05] [  3.65780173e-05] [  3.93938111e-05]
131 [  4.03089464e-05] [  3.72084534e-05] [  4.03089464e-05]
132 [  3.79103508e-05] [  3.51815874e-05] [  3.79103508e-05]
133 [  4.28602050e-05] [  3.93424259e-05] [  4.28602050e-05]
134 [  3.73327891e-05] [  3.47960178e-05] [  3.73327891e-05]
135 [  4.11627474e-05] [  3.79897232e-05] [  4.11627474e-05]
136 [  3.25432789e-05] [  3.07005427e-05] [  3.25432789e-05]
137 [  4.15983194e-05] [  3.80968554e-05] [  4.15983194e-05]
138 [  3.94010744e-05] [  3.63371339e-05] [  3.94010744e-05]
139 [  3.80106067e-05] [  3.51584873e-05] [  3.80106067e-05]
140 [  3.94321246e-05] [  3.63209635e-05] [  3.94321246e-05]
141 [  3.87103161e-05] [  3.57276078e-05] [  3.87103161e-05]
142 [  3.85005142e-05] [  3.55393859e-05] [  3.85005142e-05]
143 [  3.84238506e-05] [  3.54571408e-05] [  3.84238506e-05]
144 [  3.83795500e-05] [  3.54011461e-05] [  3.83795500e-05]
145 [  3.83451223e-05] [  3.53537378e-05] [  3.83451223e-05]
146 [  3.83118150e-05] [  3.53079050e-05] [  3.83118150e-05]
147 [  3.82779675e-05] [  3.52622556e-05] [  3.82779675e-05]
148 [  3.82453961e-05] [  3.52182852e-05] [  3.82453961e-05]
149 [  3.82129088e-05] [  3.51750034e-05] [  3.82129088e-05]
150 [  3.81801125e-05] [  3.51320330e-05] [  3.81801125e-05]
151 [  3.33984813e-05] [  3.35905722e-05] [  3.33984813e-05]
152 [  2.85998376e-05] [  3.17470059e-05] [  2.85998376e-05]
153 [  2.45296136e-05] [  3.02228795e-05] [  2.45296136e-05]
154 [  2.12568472e-05] [  2.91019825e-05] [  2.12568472e-05]
155 [  1.86898733e-05] [  2.83376738e-05] [  1.86898733e-05]
156 [  1.67180383e-05] [  2.78655132e-05] [  1.67180383e-05]
157 [  1.52381045e-05] [  2.76242934e-05] [  1.52381045e-05]
158 [  1.41603342e-05] [  2.75610695e-05] [  1.41603342e-05]
159 [  1.34133023e-05] [  2.76355154e-05] [  1.34133023e-05]
160 [  1.29363146e-05] [  2.78140062e-05] [  1.29363146e-05]
161 [  1.26765766e-05] [  2.80674350e-05] [  1.26765766e-05]
162 [  1.25946094e-05] [  2.83760180e-05] [  1.25946094e-05]
163 [  1.26534166e-05] [  2.87205079e-05] [  1.26534166e-05]
164 [  5.36925059e-06] [  2.36640428e-05] [  5.36925059e-06]
165 [  2.42526039e-05] [  3.95370196e-05] [  2.42526039e-05]
166 [ -1.51484110e-05] [  6.30300953e-06] [ -1.51484110e-05]
167 [ -3.01936975e-06] [  1.49072460e-05] [ -3.01936975e-06]
168 [  7.95099667e-05] [  8.45972301e-05] [  7.95099667e-05]
169 [-0.0001056] [ -7.10935462e-05] [-0.0001056]
170 [  8.62278675e-05] [  8.63121203e-05] [  8.62278675e-05]
171 [ -4.34047514e-05] [ -2.18771065e-05] [ -4.34047514e-05]
172 [ 0.00011234] [ 0.00010782] [ 0.00011234]
173 [  4.07016481e-05] [  5.11851091e-05] [  4.07016481e-05]
174 [  2.22459106e-05] [  3.65137685e-05] [  2.22459106e-05]
175 [  1.78903613e-05] [  3.29602235e-05] [  1.78903613e-05]
176 [  1.72459059e-05] [  3.23255397e-05] [  1.72459059e-05]
177 [  1.75546066e-05] [  3.24343246e-05] [  1.75546066e-05]
178 [  1.80872797e-05] [  3.27124693e-05] [  1.80872797e-05]
179 [  1.86554877e-05] [  3.30127203e-05] [  1.86554877e-05]
180 [  1.92089061e-05] [  3.32965199e-05] [  1.92089061e-05]
181 [  1.97379012e-05] [  3.35573942e-05] [  1.97379012e-05]
182 [  2.02425951e-05] [  3.37965098e-05] [  2.02425951e-05]
183 [  2.07227618e-05] [  3.40145256e-05] [  2.07227618e-05]
184 [  2.11811014e-05] [  3.42143972e-05] [  2.11811014e-05]
185 [  2.16181229e-05] [  3.43971621e-05] [  2.16181229e-05]
186 [  2.20381975e-05] [  3.45670403e-05] [  2.20381975e-05]
187 [  2.24389423e-05] [  3.47225506e-05] [  2.24389423e-05]
188 [  2.28243586e-05] [  3.48674296e-05] [  2.28243586e-05]
189 [  2.31933014e-05] [  3.50010982e-05] [  2.31933014e-05]
190 [  2.35492322e-05] [  3.51267653e-05] [  2.35492322e-05]
191 [  2.38901175e-05] [  3.52430196e-05] [  2.38901175e-05]
192 [  2.42191675e-05] [  3.53527545e-05] [  2.42191675e-05]
193 [  2.45346936e-05] [  3.54547569e-05] [  2.45346936e-05]
194 [  2.48393446e-05] [  3.55513742e-05] [  2.48393446e-05]
195 [  2.51329417e-05] [  3.56426111e-05] [  2.51329417e-05]
196 [  2.54157347e-05] [  3.57287754e-05] [  2.54157347e-05]
197 [  2.72331009e-05] [  3.69342029e-05] [  2.72331009e-05]
198 [  2.30884323e-05] [  3.33379082e-05] [  2.30884323e-05]
199 [  3.24369852e-05] [  4.10929002e-05] [  3.24369852e-05]
200 [  1.19649278e-05] [  2.37317317e-05] [  1.19649278e-05]
201 [  5.72157823e-05] [  6.01022630e-05] [  5.72157823e-05]
202 [ -4.47935515e-06] [  7.40618122e-06] [ -4.47935515e-06]
203 [  2.03684011e-05] [  2.57114825e-05] [  2.03684011e-05]
204 [  4.35684249e-05] [  4.41083951e-05] [  4.35684249e-05]
205 [  8.99865033e-06] [  1.43627711e-05] [  8.99865033e-06]
206 [  2.31108570e-05] [  2.45885676e-05] [  2.31108570e-05]
207 [  2.64647560e-05] [  2.64246613e-05] [  2.64647560e-05]
208 [  2.70902709e-05] [  2.61994959e-05] [  2.70902709e-05]
209 [  2.71062006e-05] [  2.55775855e-05] [  2.71062006e-05]
210 [  2.70542069e-05] [  2.49791751e-05] [  2.70542069e-05]
211 [  2.70564912e-05] [  2.44938416e-05] [  2.70564912e-05]
212 [  2.71290864e-05] [  2.41278903e-05] [  2.71290864e-05]
213 [  2.72587398e-05] [  2.38647233e-05] [  2.72587398e-05]
214 [  2.74353653e-05] [  2.36909810e-05] [  2.74353653e-05]
215 [  2.76433866e-05] [  2.35891246e-05] [  2.76433866e-05]
216 [  2.78742871e-05] [  2.35477500e-05] [  2.78742871e-05]
217 [  2.81188474e-05] [  2.35551752e-05] [  2.81188474e-05]
218 [  2.83724127e-05] [  2.36038113e-05] [  2.83724127e-05]
219 [  2.86275395e-05] [  2.36840020e-05] [  2.86275395e-05]
