DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
0 [  3.50179962e-05] [  3.18379459e-05] [  3.50179962e-05]
1 [  3.50176232e-05] [  3.18376341e-05] [  3.50176232e-05]
2 [  3.50181836e-05] [  3.18381033e-05] [  3.50181836e-05]
3 [  3.50173403e-05] [  3.18373980e-05] [  3.50173403e-05]
4 [  3.50178893e-05] [  3.18378398e-05] [  3.50178893e-05]
5 [  3.50178482e-05] [  3.18378043e-05] [  3.50178482e-05]
6 [  3.50179127e-05] [  3.18378571e-05] [  3.50179127e-05]
7 [  3.50178180e-05] [  3.18377768e-05] [  3.50178180e-05]
8 [  3.50179627e-05] [  3.18378968e-05] [  3.50179627e-05]
9 [  3.50184657e-05] [  3.18383344e-05] [  3.50184657e-05]
10 [  3.50176448e-05] [  3.18376657e-05] [  3.50176448e-05]
11 [  3.50173752e-05] [  3.18374241e-05] [  3.50173752e-05]
12 [  3.50178441e-05] [  3.18377990e-05] [  3.50178441e-05]
13 [  3.50179236e-05] [  3.18378644e-05] [  3.50179236e-05]
14 [  3.50185246e-05] [  3.18383840e-05] [  3.50185246e-05]
15 [  3.50175562e-05] [  3.18375919e-05] [  3.50175562e-05]
16 [  3.50175084e-05] [  3.18375358e-05] [  3.50175084e-05]
17 [  3.50183622e-05] [  3.18382505e-05] [  3.50183622e-05]
18 [  3.50177960e-05] [  3.18377948e-05] [  3.50177960e-05]
19 [  3.50178616e-05] [  3.18378514e-05] [  3.50178616e-05]
20 [  3.50177595e-05] [  3.18377677e-05] [  3.50177595e-05]
21 [  3.50171912e-05] [  3.18372760e-05] [  3.50171912e-05]
22 [  3.50181093e-05] [  3.18380265e-05] [  3.50181093e-05]
23 [  3.50182317e-05] [  3.18381454e-05] [  3.50182317e-05]
24 [  3.50172647e-05] [  3.18373365e-05] [  3.50172647e-05]
25 [  3.50179999e-05] [  3.18379340e-05] [  3.50179999e-05]
26 [  3.50176790e-05] [  3.18376643e-05] [  3.50176790e-05]
27 [  3.50181639e-05] [  3.18380688e-05] [  3.50181639e-05]
28 [  3.50181553e-05] [  3.18380783e-05] [  3.50181553e-05]
29 [  3.50173853e-05] [  3.18374343e-05] [  3.50173853e-05]
30 [  3.50172384e-05] [  3.18373579e-05] [  3.50172384e-05]
31 [  3.50181314e-05] [  3.18380794e-05] [  3.50181314e-05]
32 [  3.50175743e-05] [  3.18376047e-05] [  3.50175743e-05]
33 [  3.50176973e-05] [  3.18376819e-05] [  3.50176973e-05]
34 [  3.50183013e-05] [  3.18381784e-05] [  3.50183013e-05]
35 [  3.50181181e-05] [  3.18380349e-05] [  3.50181181e-05]
36 [  3.50176151e-05] [  3.18376078e-05] [  3.50176151e-05]
37 [  3.50183756e-05] [  3.18382384e-05] [  3.50183756e-05]
38 [  3.50179546e-05] [  3.18378987e-05] [  3.50179546e-05]
39 [  3.50178068e-05] [  3.18377714e-05] [  3.50178068e-05]
40 [  3.50180307e-05] [  3.18379555e-05] [  3.50180307e-05]
41 [  3.50184140e-05] [  3.18382910e-05] [  3.50184140e-05]
42 [  3.50177724e-05] [  3.18377707e-05] [  3.50177724e-05]
43 [  3.50179508e-05] [  3.18379202e-05] [  3.50179508e-05]
44 [  3.50176786e-05] [  3.18376928e-05] [  3.50176786e-05]
45 [  3.50173658e-05] [  3.18374137e-05] [  3.50173658e-05]
46 [  3.50178994e-05] [  3.18378415e-05] [  3.50178994e-05]
47 [  3.50178809e-05] [  3.18378239e-05] [  3.50178809e-05]
48 [  3.50179109e-05] [  3.18378469e-05] [  3.50179109e-05]
49 [  3.50185861e-05] [  3.18384277e-05] [  3.50185861e-05]
50 [  3.50175059e-05] [  3.18375413e-05] [  3.50175059e-05]
51 [  3.97676259e-05] [  3.33376250e-05] [  3.97676259e-05]
52 [  4.45311176e-05] [  3.51373377e-05] [  4.45311176e-05]
53 [  4.85561842e-05] [  3.66096356e-05] [  4.85561842e-05]
54 [  5.17806163e-05] [  3.76761024e-05] [  5.17806163e-05]
55 [  5.42976422e-05] [  3.83844620e-05] [  5.42976422e-05]
56 [  5.62273306e-05] [  3.88069637e-05] [  5.62273306e-05]
57 [  5.76724207e-05] [  3.90045915e-05] [  5.76724207e-05]
58 [  5.87228273e-05] [  3.90306157e-05] [  5.87228273e-05]
59 [  5.94525850e-05] [  3.89278067e-05] [  5.94525850e-05]
60 [  6.93101873e-05] [  4.55593962e-05] [  6.93101873e-05]
61 [  4.50478381e-05] [  2.48609346e-05] [  4.50478381e-05]
62 [  9.70478033e-05] [  6.84278470e-05] [  9.70478033e-05]
63 [  7.27812444e-05] [  4.96489230e-05] [  7.27812444e-05]
64 [  5.19160382e-05] [  3.26638079e-05] [  5.19160382e-05]
65 [  4.83216476e-05] [  2.94161336e-05] [  4.83216476e-05]
66 [  4.88626392e-05] [  2.95204674e-05] [  4.88626392e-05]
67 [  5.01373479e-05] [  3.02787090e-05] [  5.01373479e-05]
68 [  5.13162364e-05] [  3.10257404e-05] [  5.13162364e-05]
69 [  5.22330512e-05] [  3.16214462e-05] [  5.22330512e-05]
70 [  5.28893718e-05] [  3.20594134e-05] [  5.28893718e-05]
71 [  5.41232994e-05] [  3.46381067e-05] [  5.41232994e-05]
72 [  5.53209832e-05] [  3.70497812e-05] [  5.53209832e-05]
73 [  5.61842867e-05] [  3.90685260e-05] [  5.61842867e-05]
74 [  5.67046393e-05] [  4.06968935e-05] [  5.67046393e-05]
75 [  5.69341140e-05] [  4.19848653e-05] [  5.69341140e-05]
76 [  5.69308679e-05] [  4.29867619e-05] [  5.69308679e-05]
77 [  5.67491197e-05] [  4.37535212e-05] [  5.67491197e-05]
78 [  5.64291575e-05] [  4.43244119e-05] [  5.64291575e-05]
79 [  5.60074091e-05] [  4.47353432e-05] [  5.60074091e-05]
80 [  5.55105715e-05] [  4.50139764e-05] [  5.55105715e-05]
81 [  5.49608250e-05] [  4.51839664e-05] [  5.49608250e-05]
82 [  5.43755937e-05] [  4.52647575e-05] [  5.43755937e-05]
83 [  5.37692096e-05] [  4.52729610e-05] [  5.37692096e-05]
84 [  5.31523958e-05] [  4.52219179e-05] [  5.31523958e-05]
85 [  5.25327650e-05] [  4.51220736e-05] [  5.25327650e-05]
86 [  5.19189089e-05] [  4.49844416e-05] [  5.19189089e-05]
87 [  5.13151194e-05] [  4.48162357e-05] [  5.13151194e-05]
88 [  5.07229516e-05] [  4.46220578e-05] [  5.07229516e-05]
89 [  5.01474742e-05] [  4.44091810e-05] [  5.01474742e-05]
90 [  4.95907378e-05] [  4.41822058e-05] [  4.95907378e-05]
91 [  4.90526998e-05] [  4.39437416e-05] [  4.90526998e-05]
92 [  6.08248006e-05] [  5.26380785e-05] [  6.08248006e-05]
93 [  3.00653271e-05] [  2.72129948e-05] [  3.00653271e-05]
94 [  9.41441705e-05] [  8.15854124e-05] [  9.41441705e-05]
95 [  3.10554494e-05] [  3.04609517e-05] [  3.10554494e-05]
96 [  5.30465192e-05] [  4.89615720e-05] [  5.30465192e-05]
