DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
0 [  3.50179962e-05] [  3.18379459e-05] [  3.50179962e-05]
1 [  3.50176232e-05] [  3.18376341e-05] [  3.50176232e-05]
2 [  3.50181836e-05] [  3.18381033e-05] [  3.50181836e-05]
3 [  3.50177622e-05] [  3.18377049e-05] [  3.50177622e-05]
4 [  3.50186773e-05] [  3.18384935e-05] [  3.50186773e-05]
5 [  3.50179533e-05] [  3.18379294e-05] [  3.50179533e-05]
6 [  3.50174692e-05] [  3.18375327e-05] [  3.50174692e-05]
7 [  3.50174708e-05] [  3.18375241e-05] [  3.50174708e-05]
8 [  3.50170578e-05] [  3.18372181e-05] [  3.50170578e-05]
9 [  3.50175074e-05] [  3.18375575e-05] [  3.50175074e-05]
10 [  3.50176793e-05] [  3.18376797e-05] [  3.50176793e-05]
11 [  3.50174894e-05] [  3.18374979e-05] [  3.50174894e-05]
12 [  3.50185648e-05] [  3.18383916e-05] [  3.50185648e-05]
13 [  3.50185602e-05] [  3.18383029e-05] [  3.50185602e-05]
14 [  3.50183088e-05] [  3.18381343e-05] [  3.50183088e-05]
15 [  3.50185604e-05] [  3.18383888e-05] [  3.50185604e-05]
16 [  3.50180496e-05] [  3.18380073e-05] [  3.50180496e-05]
17 [  3.50172429e-05] [  3.18373447e-05] [  3.50172429e-05]
18 [  3.50169663e-05] [  3.18371901e-05] [  3.50169663e-05]
19 [  3.50175078e-05] [  3.18376082e-05] [  3.50175078e-05]
20 [  3.50168174e-05] [  3.18369928e-05] [  3.50168174e-05]
21 [  3.50179851e-05] [  3.18379296e-05] [  3.50179851e-05]
22 [  3.50178011e-05] [  3.18377686e-05] [  3.50178011e-05]
23 [  3.50180387e-05] [  3.18379658e-05] [  3.50180387e-05]
24 [  3.50177361e-05] [  3.18377058e-05] [  3.50177361e-05]
25 [  3.50181985e-05] [  3.18380864e-05] [  3.50181985e-05]
26 [  3.50182289e-05] [  3.18381236e-05] [  3.50182289e-05]
27 [  3.50181236e-05] [  3.18380491e-05] [  3.50181236e-05]
28 [  3.50178519e-05] [  3.18377809e-05] [  3.50178519e-05]
29 [  3.50186182e-05] [  3.18384414e-05] [  3.50186182e-05]
30 [  3.50174020e-05] [  3.18374445e-05] [  3.50174020e-05]
31 [  3.50177273e-05] [  3.18377029e-05] [  3.50177273e-05]
32 [  3.50180206e-05] [  3.18379506e-05] [  3.50180206e-05]
33 [  3.50184849e-05] [  3.18383385e-05] [  3.50184849e-05]
34 [  3.50168081e-05] [  3.18369410e-05] [  3.50168081e-05]
35 [  3.50186088e-05] [  3.18384349e-05] [  3.50186088e-05]
36 [  3.50181204e-05] [  3.18380651e-05] [  3.50181204e-05]
37 [  3.50172845e-05] [  3.18373714e-05] [  3.50172845e-05]
38 [  3.50171185e-05] [  3.18372965e-05] [  3.50171185e-05]
39 [  3.50167159e-05] [  3.18369018e-05] [  3.50167159e-05]
40 [  3.50182355e-05] [  3.18381295e-05] [  3.50182355e-05]
41 [  3.50175247e-05] [  3.18375244e-05] [  3.50175247e-05]
42 [  3.50186030e-05] [  3.18384169e-05] [  3.50186030e-05]
43 [  3.50186437e-05] [  3.18383576e-05] [  3.50186437e-05]
44 [  3.50182775e-05] [  3.18380903e-05] [  3.50182775e-05]
45 [  3.50194226e-05] [  3.18391077e-05] [  3.50194226e-05]
46 [  3.50175039e-05] [  3.18375652e-05] [  3.50175039e-05]
47 [  3.50173104e-05] [  3.18373985e-05] [  3.50173104e-05]
48 [  3.50169727e-05] [  3.18371836e-05] [  3.50169727e-05]
49 [  3.50182428e-05] [  3.18382293e-05] [  3.50182428e-05]
50 [  3.50163898e-05] [  3.18366606e-05] [  3.50163898e-05]
51 [  3.97677994e-05] [  3.33377851e-05] [  3.97677994e-05]
52 [  4.45309218e-05] [  3.51371836e-05] [  4.45309218e-05]
53 [  5.34374841e-05] [  4.01606180e-05] [  5.34374841e-05]
54 [  3.80151796e-05] [  2.55249694e-05] [  3.80151796e-05]
55 [  8.20382962e-05] [  6.11642355e-05] [  8.20382962e-05]
56 [  5.75605723e-05] [  4.06071028e-05] [  5.75605723e-05]
57 [  5.31261770e-05] [  3.60523620e-05] [  5.31261770e-05]
58 [  5.35474862e-05] [  3.54889943e-05] [  5.35474862e-05]
59 [  5.88351137e-05] [  3.86603853e-05] [  5.88351137e-05]
60 [  8.24485806e-05] [  5.85688646e-05] [  8.24485806e-05]
61 [  5.50632722e-05] [  3.61923083e-05] [  5.50632722e-05]
62 [  4.99049838e-05] [  3.14934182e-05] [  4.99049838e-05]
63 [  5.01635713e-05] [  3.11833029e-05] [  5.01635713e-05]
64 [  4.80967244e-05] [  2.93436998e-05] [  4.80967244e-05]
65 [  7.19799221e-05] [  4.92364844e-05] [  7.19799221e-05]
66 [  5.35352030e-05] [  3.42237297e-05] [  5.35352030e-05]
67 [  5.00638711e-05] [  3.11217940e-05] [  5.00638711e-05]
68 [  5.02177085e-05] [  3.09589202e-05] [  5.02177085e-05]
69 [  4.75361855e-05] [  2.88418608e-05] [  4.75361855e-05]
70 [  7.00188115e-05] [  4.77220495e-05] [  7.00188115e-05]
71 [  5.31489983e-05] [  3.57536748e-05] [  5.31489983e-05]
72 [  5.05462211e-05] [  3.49420162e-05] [  5.05462211e-05]
73 [  5.12138404e-05] [  3.66099160e-05] [  5.12138404e-05]
74 [  5.73870672e-05] [  4.22150024e-05] [  5.73870672e-05]
75 [  7.21679692e-05] [  5.61979955e-05] [  7.21679692e-05]
76 [  5.21904030e-05] [  4.11410613e-05] [  5.21904030e-05]
77 [  4.83409452e-05] [  3.87625470e-05] [  4.83409452e-05]
78 [  4.83696456e-05] [  3.93918588e-05] [  4.83696456e-05]
79 [  5.71952720e-05] [  4.64133235e-05] [  5.71952720e-05]
80 [  3.63281569e-05] [  2.94785212e-05] [  3.63281569e-05]
81 [  7.64797917e-05] [  6.37297077e-05] [  7.64797917e-05]
82 [  5.14662835e-05] [  4.42895809e-05] [  5.14662835e-05]
83 [  4.60195314e-05] [  4.02766759e-05] [  4.60195314e-05]
84 [  5.35650434e-05] [  4.59945313e-05] [  5.35650434e-05]
85 [  5.52892661e-05] [  4.82783326e-05] [  5.52892661e-05]
86 [  4.46578632e-05] [  4.00531167e-05] [  4.46578632e-05]
87 [  4.29224279e-05] [  3.88412403e-05] [  4.29224279e-05]
88 [  4.32674309e-05] [  3.92598875e-05] [  4.32674309e-05]
89 [  4.98068421e-05] [  4.41930629e-05] [  4.98068421e-05]
90 [  3.45942278e-05] [  3.15853955e-05] [  3.45942278e-05]
91 [  5.93994676e-05] [  5.24617368e-05] [  5.93994676e-05]
92 [  4.62715216e-05] [  4.21603817e-05] [  4.62715216e-05]
93 [  4.34168717e-05] [  3.99660025e-05] [  4.34168717e-05]
94 [  4.31070837e-05] [  3.97755106e-05] [  4.31070837e-05]
95 [  4.94015973e-05] [  4.44169692e-05] [  4.94015973e-05]
96 [  4.84344573e-05] [  4.40421357e-05] [  4.84344573e-05]
