DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
0 [  3.50179962e-05] [  3.18379459e-05] [  3.50179962e-05]
1 [  3.50176232e-05] [  3.18376341e-05] [  3.50176232e-05]
2 [  3.50181836e-05] [  3.18381033e-05] [  3.50181836e-05]
3 [  3.50173403e-05] [  3.18373980e-05] [  3.50173403e-05]
4 [  3.50178893e-05] [  3.18378398e-05] [  3.50178893e-05]
5 [  3.50178811e-05] [  3.18378282e-05] [  3.50178811e-05]
6 [  3.50178620e-05] [  3.18378114e-05] [  3.50178620e-05]
7 [  3.50178934e-05] [  3.18378370e-05] [  3.50178934e-05]
8 [  3.50185664e-05] [  3.18384171e-05] [  3.50185664e-05]
9 [  3.50174902e-05] [  3.18375351e-05] [  3.50174902e-05]
10 [  3.50176045e-05] [  3.18376150e-05] [  3.50176045e-05]
11 [  3.50182145e-05] [  3.18381259e-05] [  3.50182145e-05]
12 [  3.50180150e-05] [  3.18379773e-05] [  3.50180150e-05]
13 [  3.50177530e-05] [  3.18377355e-05] [  3.50177530e-05]
14 [  3.50179124e-05] [  3.18378733e-05] [  3.50179124e-05]
15 [  3.50176699e-05] [  3.18376744e-05] [  3.50176699e-05]
16 [  3.50180317e-05] [  3.18379810e-05] [  3.50180317e-05]
17 [  3.50174848e-05] [  3.18375268e-05] [  3.50174848e-05]
18 [  3.50175860e-05] [  3.18375970e-05] [  3.50175860e-05]
19 [  3.50182161e-05] [  3.18381258e-05] [  3.50182161e-05]
20 [  3.50177247e-05] [  3.18376664e-05] [  3.50177247e-05]
21 [  3.50187098e-05] [  3.18385150e-05] [  3.50187098e-05]
22 [  3.50178810e-05] [  3.18378646e-05] [  3.50178810e-05]
23 [  3.50175549e-05] [  3.18376013e-05] [  3.50175549e-05]
24 [  3.50173193e-05] [  3.18373954e-05] [  3.50173193e-05]
25 [  3.50177326e-05] [  3.18377304e-05] [  3.50177326e-05]
26 [  3.50178911e-05] [  3.18378681e-05] [  3.50178911e-05]
27 [  3.50176502e-05] [  3.18376712e-05] [  3.50176502e-05]
28 [  3.50170579e-05] [  3.18371876e-05] [  3.50170579e-05]
29 [  3.50175363e-05] [  3.18375521e-05] [  3.50175363e-05]
30 [  3.50183868e-05] [  3.18382608e-05] [  3.50183868e-05]
31 [  3.50178312e-05] [  3.18378109e-05] [  3.50178312e-05]
32 [  3.50178864e-05] [  3.18378557e-05] [  3.50178864e-05]
33 [  3.50178058e-05] [  3.18377870e-05] [  3.50178058e-05]
34 [  3.50179296e-05] [  3.18378893e-05] [  3.50179296e-05]
35 [  3.50178593e-05] [  3.18378169e-05] [  3.50178593e-05]
36 [  3.50178493e-05] [  3.18378087e-05] [  3.50178493e-05]
37 [  3.50178672e-05] [  3.18378237e-05] [  3.50178672e-05]
38 [  3.50178427e-05] [  3.18378032e-05] [  3.50178427e-05]
39 [  3.50178825e-05] [  3.18378363e-05] [  3.50178825e-05]
40 [  3.50178248e-05] [  3.18377879e-05] [  3.50178248e-05]
41 [  3.50179145e-05] [  3.18378627e-05] [  3.50179145e-05]
42 [  3.50177822e-05] [  3.18377517e-05] [  3.50177822e-05]
43 [  3.50178854e-05] [  3.18378484e-05] [  3.50178854e-05]
44 [  3.50178343e-05] [  3.18378042e-05] [  3.50178343e-05]
45 [  3.50179135e-05] [  3.18378689e-05] [  3.50179135e-05]
46 [  3.50177966e-05] [  3.18377697e-05] [  3.50177966e-05]
47 [  3.50179746e-05] [  3.18379173e-05] [  3.50179746e-05]
48 [  3.50177092e-05] [  3.18376939e-05] [  3.50177092e-05]
49 [  3.50181106e-05] [  3.18380285e-05] [  3.50181106e-05]
50 [  3.50185457e-05] [  3.18383744e-05] [  3.50185457e-05]
51 [  3.97682160e-05] [  3.33381381e-05] [  3.97682160e-05]
52 [  4.45307507e-05] [  3.51370745e-05] [  4.45307507e-05]
53 [  4.85557480e-05] [  3.66093043e-05] [  4.85557480e-05]
54 [  5.17796254e-05] [  3.76752771e-05] [  5.17796254e-05]
55 [  5.42983327e-05] [  3.83850284e-05] [  5.42983327e-05]
56 [  6.55451870e-05] [  4.55854622e-05] [  6.55451870e-05]
57 [  4.03600874e-05] [  2.35312777e-05] [  4.03600874e-05]
58 [ 0.00010353] [  7.60856067e-05] [ 0.00010353]
59 [  5.99839892e-05] [  4.07807890e-05] [  5.99839892e-05]
60 [  5.08390373e-05] [  3.27826273e-05] [  5.08390373e-05]
61 [  5.02922262e-05] [  3.17038325e-05] [  5.02922262e-05]
62 [  5.15876436e-05] [  3.21931941e-05] [  5.15876436e-05]
63 [  5.30135016e-05] [  3.28846169e-05] [  5.30135016e-05]
64 [  5.35810024e-05] [  3.30222769e-05] [  5.35810024e-05]
65 [  7.88864893e-05] [  5.44358189e-05] [  7.88864893e-05]
66 [  5.46835994e-05] [  3.48984153e-05] [  5.46835994e-05]
67 [  4.98198781e-05] [  3.07180174e-05] [  4.98198781e-05]
68 [  4.97122808e-05] [  3.03685948e-05] [  4.97122808e-05]
69 [  5.05660861e-05] [  3.08432786e-05] [  5.05660861e-05]
70 [  5.14336773e-05] [  3.13849123e-05] [  5.14336773e-05]
71 [  5.01786698e-05] [  3.21119434e-05] [  5.01786698e-05]
72 [  5.63010763e-05] [  3.84878999e-05] [  5.63010763e-05]
73 [  7.35026403e-05] [  5.45975579e-05] [  7.35026403e-05]
74 [  5.53397835e-05] [  4.12472961e-05] [  5.53397835e-05]
75 [  5.17072643e-05] [  3.92877595e-05] [  5.17072643e-05]
76 [  5.15645168e-05] [  4.00058914e-05] [  5.15645168e-05]
77 [  5.20674362e-05] [  4.11604164e-05] [  5.20674362e-05]
78 [  5.25240294e-05] [  4.22097454e-05] [  5.25240294e-05]
79 [  6.53439823e-05] [  5.21776598e-05] [  6.53439823e-05]
80 [  7.30872257e-05] [  6.03279313e-05] [  7.30872257e-05]
81 [  4.96331254e-05] [  4.21890024e-05] [  4.96331254e-05]
82 [  4.48623125e-05] [  3.87755731e-05] [  4.48623125e-05]
83 [  4.46704065e-05] [  3.89501276e-05] [  4.46704065e-05]
84 [  4.54056579e-05] [  3.98291632e-05] [  4.54056579e-05]
85 [  4.61628398e-05] [  4.06987514e-05] [  4.61628398e-05]
86 [  4.67463834e-05] [  4.14055498e-05] [  4.67463834e-05]
87 [  5.66289512e-05] [  4.88412157e-05] [  5.66289512e-05]
88 [  5.78325080e-05] [  5.07506839e-05] [  5.78325080e-05]
89 [  4.53769974e-05] [  4.10391025e-05] [  4.53769974e-05]
90 [  4.29607393e-05] [  3.92462037e-05] [  4.29607393e-05]
91 [  4.29731730e-05] [  3.93615968e-05] [  4.29731730e-05]
92 [  4.34501631e-05] [  3.98337467e-05] [  4.34501631e-05]
93 [  4.39103256e-05] [  4.02825009e-05] [  4.39103256e-05]
94 [  5.10685928e-05] [  4.55868941e-05] [  5.10685928e-05]
95 [  5.04223637e-05] [  4.55715687e-05] [  5.04223637e-05]
96 [  4.32325830e-05] [  3.99271838e-05] [  4.32325830e-05]
