DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
0 [  3.50179962e-05] [  3.18379459e-05] [  3.50179962e-05]
1 [  3.50176232e-05] [  3.18376341e-05] [  3.50176232e-05]
2 [  3.50181836e-05] [  3.18381033e-05] [  3.50181836e-05]
3 [  3.50173403e-05] [  3.18373980e-05] [  3.50173403e-05]
4 [  3.50178893e-05] [  3.18378398e-05] [  3.50178893e-05]
5 [  3.50178482e-05] [  3.18378043e-05] [  3.50178482e-05]
6 [  3.50178923e-05] [  3.18378422e-05] [  3.50178923e-05]
7 [  3.50178489e-05] [  3.18378047e-05] [  3.50178489e-05]
8 [  3.50179170e-05] [  3.18378603e-05] [  3.50179170e-05]
9 [  3.50178167e-05] [  3.18377751e-05] [  3.50178167e-05]
10 [  3.50186881e-05] [  3.18385209e-05] [  3.50186881e-05]
11 [  3.50158765e-05] [  3.18361508e-05] [  3.50158765e-05]
12 [  3.50194525e-05] [  3.18391061e-05] [  3.50194525e-05]
13 [  3.50178034e-05] [  3.18377757e-05] [  3.50178034e-05]
14 [  3.50179349e-05] [  3.18378862e-05] [  3.50179349e-05]
15 [  3.50185476e-05] [  3.18384068e-05] [  3.50185476e-05]
16 [  3.50167448e-05] [  3.18369013e-05] [  3.50167448e-05]
17 [  3.50201708e-05] [  3.18397884e-05] [  3.50201708e-05]
18 [  3.50127942e-05] [  3.18335846e-05] [  3.50127942e-05]
19 [  3.50290421e-05] [  3.18472695e-05] [  3.50290421e-05]
20 [  3.49927849e-05] [  3.18167443e-05] [  3.49927849e-05]
21 [  3.50731587e-05] [  3.18844145e-05] [  3.50731587e-05]
22 [  3.49808944e-05] [  3.18084156e-05] [  3.49808944e-05]
23 [  3.50095544e-05] [  3.18310742e-05] [  3.50095544e-05]
24 [  3.50169015e-05] [  3.18369024e-05] [  3.50169015e-05]
25 [  3.50173118e-05] [  3.18373198e-05] [  3.50173118e-05]
26 [  3.50181381e-05] [  3.18379352e-05] [  3.50181381e-05]
27 [  3.50177914e-05] [  3.18375863e-05] [  3.50177914e-05]
28 [  3.50198662e-05] [  3.18393000e-05] [  3.50198662e-05]
29 [  3.50160145e-05] [  3.18360404e-05] [  3.50160145e-05]
30 [  3.50254488e-05] [  3.18439885e-05] [  3.50254488e-05]
31 [  3.50045147e-05] [  3.18263751e-05] [  3.50045147e-05]
32 [  3.50298316e-05] [  3.18472966e-05] [  3.50298316e-05]
33 [  3.50214165e-05] [  3.18406884e-05] [  3.50214165e-05]
34 [  3.50187018e-05] [  3.18385517e-05] [  3.50187018e-05]
35 [  3.50182645e-05] [  3.18380948e-05] [  3.50182645e-05]
36 [  3.50184929e-05] [  3.18383389e-05] [  3.50184929e-05]
37 [  3.50172850e-05] [  3.18373651e-05] [  3.50172850e-05]
38 [  3.50190160e-05] [  3.18388507e-05] [  3.50190160e-05]
39 [  3.50148880e-05] [  3.18353985e-05] [  3.50148880e-05]
40 [  3.50232925e-05] [  3.18424836e-05] [  3.50232925e-05]
41 [  3.50047525e-05] [  3.18268831e-05] [  3.50047525e-05]
42 [  3.50452128e-05] [  3.18609429e-05] [  3.50452128e-05]
43 [  3.49979989e-05] [  3.18220143e-05] [  3.49979989e-05]
44 [  3.50137135e-05] [  3.18344657e-05] [  3.50137135e-05]
45 [  3.50121904e-05] [  3.18335894e-05] [  3.50121904e-05]
46 [  3.50203124e-05] [  3.18401587e-05] [  3.50203124e-05]
47 [  3.50065481e-05] [  3.18283545e-05] [  3.50065481e-05]
48 [  3.50402881e-05] [  3.18565895e-05] [  3.50402881e-05]
49 [  3.49684575e-05] [  3.17959877e-05] [  3.49684575e-05]
50 [  3.51305464e-05] [  3.19323832e-05] [  3.51305464e-05]
51 [  3.95216368e-05] [  3.31301431e-05] [  3.95216368e-05]
52 [  4.47005672e-05] [  3.52721464e-05] [  4.47005672e-05]
53 [  4.85947321e-05] [  3.66409390e-05] [  4.85947321e-05]
54 [  5.17853806e-05] [  3.76805809e-05] [  5.17853806e-05]
55 [  6.27315780e-05] [  4.45205522e-05] [  6.27315780e-05]
56 [  3.93575962e-05] [  2.37691593e-05] [  3.93575962e-05]
57 [  9.33144710e-05] [  6.82356331e-05] [  9.33144710e-05]
58 [ -2.42341014e-05] [ -3.15911896e-05] [ -2.42341014e-05]
59 [ 0.00021396] [ 0.00016933] [ 0.00021396]
60 [ -8.62863574e-05] [ -9.37604107e-05] [ -8.62863574e-05]
61 [ 0.00020449] [ 0.0001675] [ 0.00020449]
62 [-0.00011172] [ -9.77792502e-05] [-0.00011172]
63 [  3.39096192e-05] [  1.70561224e-05] [  3.39096192e-05]
64 [  4.67094378e-05] [  2.84089488e-05] [  4.67094378e-05]
65 [  5.43678732e-05] [  3.28442819e-05] [  5.43678732e-05]
66 [  6.68869543e-05] [  4.18996463e-05] [  6.68869543e-05]
67 [  6.20598762e-05] [  3.68257838e-05] [  6.20598762e-05]
68 [  8.96189183e-05] [  5.94353229e-05] [  8.96189183e-05]
69 [  3.94050143e-05] [  1.69114242e-05] [  3.94050143e-05]
70 [ 0.00015721] [ 0.00011614] [ 0.00015721]
71 [ -7.61187991e-05] [ -7.95527350e-05] [ -7.61187991e-05]
72 [ 0.00023926] [ 0.00018547] [ 0.00023926]
73 [  9.21967618e-05] [  7.03204042e-05] [  9.21967618e-05]
74 [ 0.00010968] [  8.16700741e-05] [ 0.00010968]
75 [  2.18246385e-05] [  1.13795861e-05] [  2.18246385e-05]
76 [ 0.00017514] [ 0.0001435] [ 0.00017514]
77 [-0.00012] [-0.00010599] [-0.00012]
78 [ 0.00017443] [ 0.00015822] [ 0.00017443]
79 [-0.00011425] [-0.00010101] [-0.00011425]
80 [ 0.00018032] [ 0.00016265] [ 0.00018032]
81 [-0.00010917] [ -9.71961395e-05] [-0.00010917]
82 [ 0.0002065] [ 0.00016902] [ 0.0002065]
83 [ 0.00017811] [ 0.00013311] [ 0.00017811]
84 [  7.10792635e-05] [  5.27184953e-05] [  7.10792635e-05]
85 [ 0.00013097] [ 0.00011223] [ 0.00013097]
86 [-0.0001151] [ -8.96008835e-05] [-0.0001151]
87 [ 0.00011132] [ 0.00011454] [ 0.00011132]
88 [-0.0001796] [-0.00014093] [-0.0001796]
89 [ 0.00012261] [ 0.00012756] [ 0.00012261]
90 [-0.00015862] [-0.00012778] [-0.00015862]
91 [ 0.00014253] [ 0.00013931] [ 0.00014253]
92 [-0.00015613] [-0.00011964] [-0.00015613]
93 [-0.00012112] [ -7.59381655e-05] [-0.00012112]
94 [ -2.13752489e-05] [ -2.11964864e-06] [ -2.13752489e-05]
95 [ -6.23713720e-05] [ -4.59143780e-05] [ -6.23713720e-05]
96 [ 0.00015932] [ 0.00013459] [ 0.00015932]
97 [ -3.23617100e-05] [ -3.94688986e-05] [ -3.23617100e-05]
98 [ 0.00026563] [ 0.00021829] [ 0.00026563]
99 [ -3.44749221e-05] [ -4.89049493e-05] [ -3.44749221e-05]
100 [ 0.0002478] [ 0.00020738] [ 0.0002478]
101 [ -5.26766323e-05] [ -5.89948273e-05] [ -5.26766323e-05]
102 [ 0.00024675] [ 0.00021184] [ 0.00024675]
103 [ -5.13934698e-05] [ -5.47987955e-05] [ -5.13934698e-05]
104 [ 0.00023273] [ 0.000202] [ 0.00023273]
105 [ -6.60938228e-05] [ -6.39168986e-05] [ -6.60938228e-05]
106 [ 0.00021957] [ 0.00019386] [ 0.00021957]
107 [ -7.75512199e-05] [ -7.11198566e-05] [ -7.75512199e-05]
108 [ 0.00020966] [ 0.00018749] [ 0.00020966]
109 [ -8.61128823e-05] [ -7.67489609e-05] [ -8.61128823e-05]
110 [ 0.00015885] [ 0.00014797] [ 0.00015885]
111 [ -7.00884368e-05] [ -5.92751808e-05] [ -7.00884368e-05]
112 [ 0.00022586] [ 0.00019928] [ 0.00022586]
113 [ -7.08312124e-05] [ -6.63700707e-05] [ -7.08312124e-05]
114 [ 0.00021533] [ 0.00019144] [ 0.00021533]
115 [ -8.15672454e-05] [ -7.35334251e-05] [ -8.15672454e-05]
116 [ 0.00020582] [ 0.0001851] [ 0.00020582]
117 [ -8.97789560e-05] [ -7.91234124e-05] [ -8.97789560e-05]
118 [ 0.00019878] [ 0.00018018] [ 0.00019878]
119 [ -9.58012843e-05] [ -8.34380777e-05] [ -9.58012843e-05]
120 [ 0.00012062] [ 0.00011807] [ 0.00012062]
121 [ -7.56035566e-05] [ -6.06179866e-05] [ -7.56035566e-05]
122 [ 0.00022548] [ 0.00019858] [ 0.00022548]
123 [ -7.06609045e-05] [ -6.71123348e-05] [ -7.06609045e-05]
124 [ 0.00021533] [ 0.00019057] [ 0.00021533]
125 [ -8.18216942e-05] [ -7.45319081e-05] [ -8.18216942e-05]
126 [ 0.00020535] [ 0.000184] [ 0.00020535]
127 [ -9.04351856e-05] [ -8.03024347e-05] [ -9.04351856e-05]
128 [ 0.00019798] [ 0.00017894] [ 0.00019798]
129 [ -9.67147614e-05] [ -8.47213865e-05] [ -9.67147614e-05]
130 [ 0.00011829] [ 0.00011577] [ 0.00011829]
131 [ -7.65233827e-05] [ -6.16350577e-05] [ -7.65233827e-05]
132 [ 0.00022471] [ 0.00019756] [ 0.00022471]
133 [ -7.14771804e-05] [ -6.81680958e-05] [ -7.14771804e-05]
134 [ 0.00021445] [ 0.00018949] [ 0.00021445]
135 [ -8.27468119e-05] [ -7.56280063e-05] [ -8.27468119e-05]
136 [ 0.00020439] [ 0.00018289] [ 0.00020439]
137 [ -9.14153600e-05] [ -8.14072758e-05] [ -9.14153600e-05]
138 [ 0.00019699] [ 0.00017784] [ 0.00019699]
139 [-0.00010069] [-0.00010364] [-0.00010069]
140 [ 0.00016604] [ 0.00015476] [ 0.00016604]
141 [-0.00012793] [-0.00010652] [-0.00012793]
142 [ 0.00016536] [ 0.0001559] [ 0.00016536]
143 [-0.00012456] [-0.00010487] [-0.00012456]
144 [ 0.00016902] [ 0.00015749] [ 0.00016902]
145 [-0.00012119] [-0.00010342] [-0.00012119]
146 [ 0.00017501] [ 0.00017663] [ 0.00017501]
147 [ -9.23783323e-05] [ -8.29200008e-05] [ -9.23783323e-05]
148 [ 0.00020064] [ 0.00017731] [ 0.00020064]
149 [ -9.34659177e-05] [ -8.60221195e-05] [ -9.34659177e-05]
150 [ 0.0001958] [ 0.00017398] [ 0.0001958]
151 [-0.00010302] [ -9.05286568e-05] [-0.00010302]
152 [ 0.00018212] [ 0.00016854] [ 0.00018212]
153 [-0.00011534] [ -9.51749330e-05] [-0.00011534]
154 [ 0.00017456] [ 0.00018124] [ 0.00017456]
155 [ -9.89440664e-05] [ -8.02753955e-05] [ -9.89440664e-05]
156 [ 0.00018991] [ 0.00017848] [ 0.00018991]
157 [-0.00010746] [ -8.60149116e-05] [-0.00010746]
158 [ 0.00017921] [ 0.00017306] [ 0.00017921]
159 [-0.00011692] [ -9.06746744e-05] [-0.00011692]
160 [ 0.00017134] [ 0.00016914] [ 0.00017134]
161 [-0.00012335] [ -9.39398902e-05] [-0.00012335]
162 [ 0.00016616] [ 0.00016645] [ 0.00016616]
163 [-0.00013025] [-0.00011284] [-0.00013025]
164 [ 0.00014152] [ 0.000147] [ 0.00014152]
165 [-0.00015132] [-0.00011349] [-0.00015132]
166 [ 0.00014248] [ 0.00014959] [ 0.00014248]
167 [-0.000147] [-0.00011058] [-0.000147]
168 [ 0.00014704] [ 0.00015237] [ 0.00014704]
169 [-0.0001427] [-0.000108] [-0.0001427]
170 [ 0.00015101] [ 0.00015474] [ 0.00015101]
171 [-0.00014158] [-0.00012101] [-0.00014158]
172 [ 0.00013515] [ 0.00014073] [ 0.00013515]
173 [-0.00015514] [-0.0001184] [-0.00015514]
174 [ 0.00014051] [ 0.00014581] [ 0.00014051]
175 [-0.00014748] [-0.00011339] [-0.00014748]
176 [ 0.00014777] [ 0.00015036] [ 0.00014777]
177 [-0.00014099] [-0.00010932] [-0.00014099]
178 [ 0.00015351] [ 0.00015401] [ 0.00015351]
179 [-0.00013592] [-0.00010606] [-0.00013592]
180 [ 0.00016095] [ 0.00017463] [ 0.00016095]
181 [-0.00010479] [ -8.40885950e-05] [-0.00010479]
182 [ 0.00018876] [ 0.00017674] [ 0.00018876]
183 [-0.00010503] [ -8.60848549e-05] [-0.00010503]
184 [ 0.00018451] [ 0.00017437] [ 0.00018451]
185 [-0.00010931] [ -8.82492400e-05] [-0.00010931]
186 [ 0.00018078] [ 0.00017247] [ 0.00018078]
187 [-0.00011246] [ -8.98883059e-05] [-0.00011246]
188 [ 0.00018076] [ 0.00018665] [ 0.00018076]
189 [-0.00011217] [ -7.71037313e-05] [-0.00011217]
190 [ 0.00019887] [ 0.00018544] [ 0.00019887]
191 [ -9.35130272e-05] [ -7.80751768e-05] [ -9.35130272e-05]
192 [ 0.00019491] [ 0.0001814] [ 0.00019491]
193 [-0.00010027] [ -8.21357965e-05] [-0.00010027]
194 [ 0.00018859] [ 0.00017777] [ 0.00018859]
195 [-0.00010573] [ -8.53166452e-05] [-0.00010573]
196 [ 0.00018395] [ 0.000175] [ 0.00018395]
197 [-0.00011261] [-0.00010547] [-0.00011261]
198 [ 0.00015587] [ 0.00015386] [ 0.00015587]
199 [-0.00013721] [-0.00010671] [-0.00013721]
200 [ 0.00015672] [ 0.00015632] [ 0.00015672]
201 [-0.00013347] [-0.0001062] [-0.00013347]
202 [ 0.00015979] [ 0.00015463] [ 0.00015979]
203 [-0.00013066] [-0.0001076] [-0.00013066]
204 [ 0.00016241] [ 0.0001535] [ 0.00016241]
205 [-0.0001282] [-0.00010849] [-0.0001282]
206 [ 0.00016777] [ 0.00017105] [ 0.00016777]
207 [ -9.99952622e-05] [ -8.93259649e-05] [ -9.99952622e-05]
208 [ 0.00019283] [ 0.00017023] [ 0.00019283]
209 [-0.00010139] [ -9.36576056e-05] [-0.00010139]
210 [ 0.00018784] [ 0.0001659] [ 0.00018784]
211 [-0.00010622] [ -9.74709233e-05] [-0.00010622]
212 [ 0.0001837] [ 0.00016262] [ 0.0001837]
213 [-0.00010967] [-0.00010026] [-0.00010967]
214 [ 0.00018368] [ 0.00017719] [ 0.00018368]
215 [ -8.89353674e-05] [ -8.41475996e-05] [ -8.89353674e-05]
216 [ 0.00020203] [ 0.00017493] [ 0.00020203]
217 [ -9.34080876e-05] [ -8.93127615e-05] [ -9.34080876e-05]
218 [ 0.00019482] [ 0.00016993] [ 0.00019482]
219 [-0.00010009] [ -9.37208062e-05] [-0.00010009]
220 [ 0.00018908] [ 0.00016612] [ 0.00018908]
221 [-0.00010495] [ -9.69919588e-05] [-0.00010495]
222 [ 0.00018774] [ 0.00017972] [ 0.00018774]
223 [ -8.59794723e-05] [ -8.18368436e-05] [ -8.59794723e-05]
224 [ 0.00020454] [ 0.00017712] [ 0.00020454]
225 [ -9.11871203e-05] [ -8.72220756e-05] [ -9.11871203e-05]
226 [ 0.0001968] [ 0.00017193] [ 0.0001968]
227 [ -9.83335737e-05] [ -9.18070334e-05] [ -9.83335737e-05]
228 [ 0.00019326] [ 0.00018361] [ 0.00019326]
229 [-0.00010108] [ -8.11814640e-05] [-0.00010108]
230 [ 0.00020686] [ 0.0001802] [ 0.00020686]
231 [ -8.66043244e-05] [ -8.40591153e-05] [ -8.66043244e-05]
232 [ 0.00020117] [ 0.00017482] [ 0.00020117]
233 [ -9.45197927e-05] [ -8.92092467e-05] [ -9.45197927e-05]
234 [ 0.00019647] [ 0.00018559] [ 0.00019647]
235 [ -9.83432438e-05] [ -7.94090832e-05] [ -9.83432438e-05]
236 [ 0.00020871] [ 0.00018173] [ 0.00020871]
237 [ -8.51145727e-05] [ -8.26926036e-05] [ -8.51145727e-05]
238 [ 0.00020241] [ 0.00017606] [ 0.00020241]
239 [ -9.34674835e-05] [ -8.80810325e-05] [ -9.34674835e-05]
