DEBUG get_query: SELECT value FROM industry WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE industry SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.14
DEBUG: concatenating server address with default port.
DEBUG enip server tags_string:  LIT101:1=REAL LIT102:1=REAL LIT103:1=REAL Q101:1=REAL Q102:1=REAL 
DEBUG enip _start_server cmd:  ['/usr/bin/python', '-m', 'cpppo.server.enip', '--print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.14:44818', 'LIT101:1=REAL', 'LIT102:1=REAL', 'LIT103:1=REAL', 'Q101:1=REAL', 'Q102:1=REAL']
DEBUG: swat-s1 plc1 enters pre_loop
DEBUG: swat-s1 plc1 enters main_loop.
0 [  5.95748422e-09] [  2.98023223e-12] [  3.14179062e-07]
1 [  5.96508514e-09] [  7.94214031e-09] [ -4.25507504e-07]
2 [  5.95302912e-09] [ -4.29663468e-09] [  6.88755907e-07]
3 [  5.97114185e-09] [  1.38286796e-08] [ -9.84770980e-07]
4 [  5.94388724e-09] [ -1.36892568e-08] [  1.53340401e-06]
5 [ -2.38025730e-08] [  2.74213831e-08] [ -3.82181098e-06]
6 [ -8.34770197e-08] [ -7.43618090e-08] [  2.42727044e-06]
7 [  5.96212590e-09] [  5.99252536e-10] [  4.07749769e-07]
8 [  5.96686076e-09] [  1.12444747e-08] [ -5.92316878e-07]
9 [  5.95056298e-09] [ -5.38183053e-09] [  9.13596966e-07]
10 [  3.57624706e-08] [  1.90581692e-08] [  2.22159795e-07]
11 [  3.57636427e-08] [  2.14988511e-08] [ -7.23136230e-08]
12 [  5.97131360e-09] [  1.58275699e-08] [ -1.18833953e-06]
13 [ -2.38468248e-08] [ -1.72111151e-08] [  2.67226018e-07]
14 [  5.95182256e-09] [ -7.42251413e-09] [  9.87639601e-07]
15 [  3.57634869e-08] [  1.89223669e-08] [  1.30940647e-07]
16 [  3.57619695e-08] [  1.87558253e-08] [  8.50721356e-08]
17 [  5.97368317e-09] [  1.72418593e-08] [ -1.40507380e-06]
18 [ -2.38505435e-08] [ -2.18455795e-08] [  6.12969017e-07]
19 [  5.95725645e-09] [ -2.77760602e-09] [  4.87503482e-07]
20 [  5.96773469e-09] [  9.76589776e-09] [ -6.68223333e-07]
21 [ -2.38385144e-08] [ -9.23323552e-09] [ -4.99334429e-07]
22 [ -2.38482287e-08] [ -2.05033283e-08] [  5.84817224e-07]
23 [  5.95691323e-09] [ -2.15555078e-09] [  5.17482114e-07]
24 [  5.96833587e-09] [  1.12578236e-08] [ -7.25588160e-07]
25 [ -2.38393342e-08] [ -9.24574675e-09] [ -4.25295210e-07]
26 [ -2.38469090e-08] [ -1.84299680e-08] [  4.61413344e-07]
27 [  5.95501937e-09] [ -3.37566092e-09] [  6.90946426e-07]
28 [  5.97127307e-09] [  1.48425254e-08] [ -9.98467470e-07]
29 [ -2.38436599e-08] [ -1.30198871e-08] [ -2.69543244e-08]
30 [ -2.38403219e-08] [ -1.12799030e-08] [ -1.50464420e-07]
31 [ -2.38422430e-08] [ -1.28288119e-08] [  2.82290275e-08]
32 [  5.94816279e-09] [ -9.43694134e-09] [  1.32249969e-06]
33 [  3.57691640e-08] [  2.61659839e-08] [ -3.96982242e-07]
34 [  5.96618420e-09] [  1.17286253e-08] [ -7.16457925e-07]
35 [  5.94842739e-09] [ -8.34008296e-09] [  1.11231212e-06]
36 [  3.57655903e-08] [  2.14550666e-08] [ -6.46626306e-08]
37 [  5.97143991e-09] [  1.59934815e-08] [ -1.19998778e-06]
38 [ -2.38470144e-08] [ -1.73637495e-08] [  2.84597995e-07]
39 [  5.95210516e-09] [ -7.10239172e-09] [  9.61376064e-07]
40 [  3.57630595e-08] [  1.85258014e-08] [  1.70293922e-07]
41 [  3.57626077e-08] [  1.94274371e-08] [  2.55611404e-08]
42 [  5.97271484e-09] [  1.62917366e-08] [ -1.31571824e-06]
43 [ -2.38490894e-08] [ -2.03590606e-08] [  4.78475719e-07]
44 [  5.95506795e-09] [ -4.95703152e-09] [  6.89612885e-07]
45 [  5.97102548e-09] [  1.31008470e-08] [ -9.72074534e-07]
46 [ -2.38434589e-08] [ -1.41822150e-08] [ -4.25581222e-08]
47 [ -2.38408022e-08] [ -1.30124658e-08] [ -1.02764356e-07]
48 [ -2.38416952e-08] [ -1.34190688e-08] [ -1.95004378e-08]
49 [ -2.38402654e-08] [ -1.15128506e-08] [ -1.52860071e-07]
50 [ -2.38423591e-08] [ -1.31929128e-08] [  3.96695486e-08]
51 [ -2.38391497e-08] [ -9.57173124e-09] [ -2.57803691e-07]
52 [ 0.0003067] [  9.63288908e-05] [ 0.00147467]
53 [ 0.00091758] [ 0.0003062] [ 0.00298253]
54 [ 0.0017816] [ 0.00060614] [ 0.00421997]
55 [ 0.00284441] [ 0.00096824] [ 0.00516705]
56 [ 0.00405843] [ 0.00136838] [ 0.00586828]
57 [ 0.00538422] [ 0.00178748] [ 0.00637553]
58 [ 0.00678957] [ 0.00221093] [ 0.00673341]
